input	filtered	denoised	merged	tabled	nonchim
GSF856-Dugas-54-3214-Ghana	136200	97931	95529	94993	94993	50307
GSF856-Dugas-55-3295-Ghana	117250	84244	80197	79298	79298	41102
GSF856-Dugas-56-3320-Ghana	126446	90171	87052	86225	86225	44216
GSF856-Dugas-57-3324-Ghana	113704	80373	77265	76576	76576	38918
GSF856-Dugas-58-3331-Ghana	95150	67487	66028	65652	65652	40332
GSF856-Dugas-59-3361-Ghana	126195	91443	88519	87905	87905	44596
GSF856-Dugas-60-3471-Ghana	106081	78828	77105	76718	76718	59888
GSF856-Dugas-61-1027-USA	99752	71137	69916	69574	69574	37692
GSF856-Dugas-6-1399-USA	119819	85453	82859	82193	82193	43511
GSF856-Dugas-62-1025-USA	120743	88320	86454	86212	86212	45223
GSF856-Dugas-63-1061-USA	94944	66919	65353	65104	65104	30747
GSF856-Dugas-64-1090-USA	107467	78671	76734	76241	76241	37162
GSF856-Dugas-65-1072-USA	100192	71530	70015	69597	69597	35576
GSF856-Dugas-66-3338-Ghana	119122	85906	83498	82953	82953	37349
GSF856-Dugas-67-3349-Ghana	114928	80872	78122	77478	77478	41397
GSF856-Dugas-68-3351-Ghana	116077	83105	79162	78393	78393	40666
GSF856-Dugas-69-3358-Ghana	123308	87619	83944	83133	83133	43808
GSF856-Dugas-70-3362-Ghana	125676	88893	85118	84481	84481	44191
GSF856-Dugas-71-3372-Ghana	243534	174206	169671	168774	168774	84367
GSF856-Dugas-7-1436-USA	111043	77911	76596	76149	76149	42727
GSF856-Dugas-72-3439-Ghana	109988	75526	73576	73132	73132	35245
GSF856-Dugas-73-3444-Ghana	94818	67146	64860	64422	64422	32256
GSF856-Dugas-74-3458-Ghana	114231	80942	78775	78296	78296	42245
GSF856-Dugas-75-1299-USA	94966	67068	65099	64551	64551	29359
GSF856-Dugas-76-1051-USA	116653	55799	55164	55119	55119	53607
GSF856-Dugas-77-1060-USA	104218	73109	71609	71184	71184	40801
GSF856-Dugas-78-1089-USA	118159	82690	80441	79787	79787	44221
GSF856-Dugas-79-1093-USA	95326	68713	67438	67089	67089	38668
GSF856-Dugas-80-1094-USA	131754	91973	90510	90175	90175	51803
GSF856-Dugas-81-1096-USA	109086	74356	72588	72057	72057	37453
GSF856-Dugas-8-1443-USA	119038	85630	84336	83940	83940	49460
GSF856-Dugas-82-1110-USA	105554	75811	74046	73682	73682	39758
GSF856-Dugas-83-1112-USA	94041	67228	65366	65015	65015	32421
GSF856-Dugas-84-1126-USA	770	559	373	330	330	187
GSF856-Dugas-85-1128-USA	97354	65351	64137	63769	63769	37658
GSF856-Dugas-86-1132-USA	91663	64219	62996	62674	62674	39057
GSF856-Dugas-87-1154-USA	112767	79633	77637	77141	77141	40957
GSF856-Dugas-88-1155-USA	86459	63366	62227	61927	61927	33312
GSF856-Dugas-89-1161-USA	90190	64718	63387	62873	62873	29894
GSF856-Dugas-90-1212-USA	93976	66585	65074	64720	64720	30799
GSF856-Dugas-91-1214-USA	82481	58989	57092	56600	56600	24779
GSF856-Dugas-9-1448-USA	110059	75510	74769	74550	74550	52309
GSF856-Dugas-92-1221-USA	79894	56191	54769	54496	54496	30853
GSF856-Dugas-94-1254-USA	61794	44310	43563	43182	43182	20988
GSF856-Dugas-95-1268-USA	130477	92163	90360	89951	89951	49631
GSF856-Dugas-96-1249-USA	125857	90182	87606	87051	87051	44779
GSF856-Dugas-96-1272-USA	92800	67767	65736	65215	65215	30598
GSF856-Dugas-97-1274-USA	95611	68944	67625	67257	67257	35600
GSF856-Dugas-98-1276-USA	118549	86977	85402	84969	84969	41184
GSF856-Dugas-99-1297-USA	91000	65257	63811	63409	63409	28492
