input	filtered	denoised	merged	tabled	nonchim
GSF856-Dugas-86-1132-USA	91663	41402	39727	39433	39433	25694
GSF856-Dugas-87-1154-USA	112767	51512	48717	48444	48444	26727
GSF856-Dugas-88-1155-USA	86459	41332	39681	39454	39454	22120
GSF856-Dugas-89-1161-USA	90190	43437	41673	41291	41291	15907
GSF856-Dugas-90-1212-USA	93976	43698	41407	41075	41075	20672
GSF856-Dugas-91-1214-USA	82481	39144	36529	36165	36165	16308
GSF856-Dugas-9-1448-USA	110059	49540	48577	48376	48376	35236
GSF856-Dugas-92-1221-USA	79894	36336	34760	34526	34526	20264
GSF856-Dugas-94-1254-USA	61794	29145	28044	27927	27927	14173
GSF856-Dugas-95-1268-USA	130477	60595	58254	57816	57816	32108
GSF856-Dugas-96-1249-USA	125857	58763	55007	54685	54685	28369
GSF856-Dugas-96-1272-USA	92800	44315	41672	41212	41212	20766
GSF856-Dugas-97-1274-USA	95611	45192	43483	43300	43300	24611
GSF856-Dugas-98-1276-USA	118549	57662	55312	55005	55005	28168
GSF856-Dugas-99-1297-USA	91000	41833	39696	39508	39508	18811
